ghes_org,ghes_repo,repo_url,repo_size_MB,github_org,github_repo,gh_repo_visibility
ghes-factory-demo,solar-system,https://antgrutta-07mubd.ghe-test.com/ghes-factory-demo/solar-system,2.02,cmf-factory,solar-system-dr-demo-20,private
ghes-factory-demo,calotracker,https://antgrutta-07mubd.ghe-test.com/ghes-factory-demo/calotracker,2.96,cmf-factory,calotracker-dr-demo-20,private
